"Sample-id	Horse	Type	Tooth_num	Tooth_location	Replicate	Gender	Age	disease_state	DIN"
"KP1	Kommi	Plaque	1	upper_jaw_left	1	W	10	healthy	7,6"
"KP2	Kommi	Plaque	2	upper_jaw_rigth	2	W	10	healthy	6,7"
"KP3	Kommi	Plaque	3	bottom_jaw_right	3	W	10	healthy	6,8"
"KP4	Kommi	Plaque	1	up_right	4	W	10	healthy	7,1"
"KP5	Kommi	Plaque	2	up_left	5	W	10	healthy	7,1"
"KP6	Kommi	Plaque	3	up_left	6	W	10	healthy	7"
"KF1	Kommi	Gum	1	upper_jaw_left	1	W	10	healthy	7,6"
"TP1	Threnna	Plaque	1	upper_jaw_left	1	S	24	onset	7,1"
"TP2	Threnna	Plaque	2	upper_jaw_rigth	2	S	24	onset	7"
"TP3	Threnna	Plaque	3	bottom_jaw_right	3	S	24	onset	7,5"
"TF1	Threnna	Gum	1	upper_jaw_left	1	S	24	onset	6,9"
"TF2	Threnna	Gum	2	upper_jaw_right	2	S	24	onset	7,3"
"EP1	Eydis	Plaque	1	uppper_jaw_left	1	S	16	diseased	6,7"
"EP2	Eydis	Plaque	2	upper_jaw_right	2	S	16	diseased	7,5"
"EP3	Eydis	Plaque	3	upper_jaw_right	3	S	16	diseased	6,8"
"EP4	Eydis	Plaque	1	up_left	4	S	16	diseased	6,7"
"EP5	Eydis	Plaque	1	up_left	5	S	16	diseased	6,8"
"EF1	Eydis	Gum	1	uppper_jaw_left	1	S	16	diseased	6,9"
"EF2	Eydis	Gum	2	upper_jaw_right	2	S	16	diseased	7,4"
"EF3	Eydis	Gum	3	upper_jaw_right	3	S	16	diseased	7,4"
"EF4	Eydis	Gum	1	up_left	4	S	16	diseased	6,3"
"PK	E_coli								8,4"
"NK	H2O								"
